1FN8_1	1FN8_1
1KG1_1_MODEL_11_A	1KG1_1_MODEL_11_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_5_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_1_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_3_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_6_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_7_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_8_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_9_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_12_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_13_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_15_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_16_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_17_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_18_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_19_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_20_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_21_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_22_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_23_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_24_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_25_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_2_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_4_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_10_A
1KG1_1_MODEL_11_A	1KG1_1_MODEL_14_A
1KPT_1	1KPT_1
1ZLE_1	1ZLE_1
1ZLE_1	1ZLD_1
1ZLE_1	5OD4_1
1ZLE_1	8EB9_1
2LW6_1_MODEL_2_A	2LW6_1_MODEL_2_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_1_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_3_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_4_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_5_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_6_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_7_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_8_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_9_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_10_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_11_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_12_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_13_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_14_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_15_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_16_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_17_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_18_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_19_A
2LW6_1_MODEL_2_A	2LW6_1_MODEL_20_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_1_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_2_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_3_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_4_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_5_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_6_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_7_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_8_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_9_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_10_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_11_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_12_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_13_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_14_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_15_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_16_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_17_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_18_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_19_A
2MYV_1_MODEL_1_A	2MYV_1_MODEL_20_A
2MYV_1_MODEL_1_A	6FU9_2
2MYV_1_MODEL_1_A	5A6W_2
2MYV_1_MODEL_1_A	6FUB_1
2MYV_1_MODEL_1_A	6FUD_2
2MYV_1_MODEL_1_A	6G10_2
2MYV_1_MODEL_1_A	6G11_1
2MYV_1_MODEL_1_A	7A8X_2
2MYV_1_MODEL_1_A	7B1I_2
2MYV_1_MODEL_1_A	7NLJ_2
2MYV_1_MODEL_1_A	7NMM_2
2MYV_1_MODEL_1_A	5JHJ_1_MODEL_18_A
2MYV_1_MODEL_1_A	5JHJ_1_MODEL_5_A
2MYV_1_MODEL_1_A	5JHJ_1_MODEL_7_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_2_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_1_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_4_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_5_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_6_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_7_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_8_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_9_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_10_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_11_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_12_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_13_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_14_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_15_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_18_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_19_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_20_A
2MYV_1_MODEL_1_A	2N37_1_MODEL_9_A
2MYV_1_MODEL_1_A	2N37_1_MODEL_14_A
2MYV_1_MODEL_1_A	5JHJ_1_MODEL_13_A
2MYV_1_MODEL_1_A	6Q76_2
2MYV_1_MODEL_1_A	2MYW_1_MODEL_3_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_16_A
2MYV_1_MODEL_1_A	2MYW_1_MODEL_17_A
2MYV_1_MODEL_1_A	5JHJ_1_MODEL_10_A
2MYV_1_MODEL_1_A	2N37_1_MODEL_1_A
2MYV_1_MODEL_1_A	2N37_1_MODEL_2_A
2MYV_1_MODEL_1_A	2N37_1_MODEL_3_A
